Altium Designer Pick and Place Locations
D:\Users\Logan\Documents\Altium Projects\A PCB Christmas\Project Outputs\Pick Place Output\Pick Place for A PCB Christmas.txt

========================================================================================================================
File Design Information:

Date:       21-11-21
Time:       15:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                        "Part Number"        
U4         74HC595BQ-Q100,115     TopLayer    QFN50P250X350X100_HS-17N 322.000       1762.000      270      ""                                 74HC595BQ-Q100,115   
U2         74HC595BQ-Q100,115     TopLayer    QFN50P250X350X100_HS-17N -367.000      1799.000      270      ""                                 74HC595BQ-Q100,115   
TP10       TP                     TopLayer    ORNAMENTS                57.000        3124.000      0        ""                                 ORNAMENTS            
TP9        TP                     TopLayer    ORNAMENTS                -938.000      1186.000      0        ""                                 ORNAMENTS            
TP8        TP                     TopLayer    ORNAMENTS                -799.000      2012.000      0        ""                                 ORNAMENTS            
TP7        TP                     TopLayer    ORNAMENTS                11.000        2198.000      0        ""                                 ORNAMENTS            
TP6        TP                     TopLayer    ORNAMENTS                -274.000      4135.000      0        ""                                 ORNAMENTS            
TP5        TP                     TopLayer    ORNAMENTS                829.000       1927.000      0        ""                                 ORNAMENTS            
TP4        TP                     TopLayer    ORNAMENTS                -591.000      3324.000      0        ""                                 ORNAMENTS            
TP3        TP                     TopLayer    ORNAMENTS                598.000       3479.000      0        ""                                 ORNAMENTS            
TP2        TP                     TopLayer    ORNAMENTS                1365.000      1310.000      0        ""                                 ORNAMENTS            
TP1        TP                     TopLayer    ORNAMENTS                314.000       4433.000      0        ""                                 ORNAMENTS            
MH1        3MM_MH                 TopLayer    3MM_MH                   -9.000        5230.000      0        ""                                 3MM_MH               
U1         MIC5363-3.3YMT-TR      TopLayer    QFN40P120X120X60_HS-7N   1110.512      1228.252      0        ""                                 MIC5363-3.3YMT-TR    
S1         JS202011CQN            BottomLayer JS202011CQN              894.000       1144.000      180      ""                                 JS202011CQN          
U3         PIC16F15225-E/MG       TopLayer    PQFN50P300X300X90_HS-17N -455.803      1319.157      270      ""                                 PIC16F15225-E/MG     
Q9         N-CH                   TopLayer    DFN50P80X39-3N           -194.110      3828.843      90       ""                                 RV1C002UNT2CL        
Q2         P-CH                   TopLayer    DFN57P80X39-3N           -212.000      1312.016      90       ""                                 DMP21D2UFA-7B        
C1         "Ceramic Cap"          TopLayer    C0402                    1020.000      1267.677      270      ""                                 CL05A105KO5NNNC      
C2         "Ceramic Cap"          TopLayer    C0402                    1067.000      1163.000      180      ""                                 CL05A105KO5NNNC      
B1         "Three Cell"           BottomLayer 2479                     228.346       2874.055      0        ""                                 2479                 
S2         "PTS645SM43SMTR92 LFS" TopLayer    PTS645SM43SMTR92_LFS     0.000         967.000       180      "SWITCH TACTILE SPST-NO 0.05A 12V" PTS645SK50SMTR92LFS  
R9         Resistor               TopLayer    RESC1005X04N             0.000         3812.000      0        ""                                 RC0402FR-071RL       
Q16        N-CH                   TopLayer    DFN50P80X39-3N           1424.000      1584.000      90       ""                                 RV1C002UNT2CL        
LS1        Buzzer                 BottomLayer PS1240P02BT              0.000         3901.000      180      ""                                 PS1240P02BT          
